order,label,layer,n_pair,self_coord,self_ci_lo,self_ci_hi,ai_author,human_author,qualia_auc,auc_perm_p
0,stage1-step0,25,254,0.5762,0.2813,0.7733,-0.2555,0.0647,0.7883,0.0
1,stage1-step8000,25,254,0.9447,-0.1991,1.6833,0.7073,0.7183,0.8963,0.0
2,stage1-step32000,25,254,0.7477,0.5648,0.8863,0.5982,0.7627,0.9742,0.0
3,stage1-step128000,25,254,0.7685,0.6043,0.8681,0.6686,0.7872,0.9836,0.0
4,stage1-step512000,25,254,0.6971,0.5506,0.7993,0.5761,0.8073,0.9814,0.0
5,stage1-step656000,25,254,0.6942,0.5374,0.8057,0.5546,0.7982,0.985,0.0
6,stage2-step12000,25,254,0.6662,0.5173,0.7844,0.5726,0.808,0.9825,0.0
7,stage2-step23842,25,254,0.6611,0.5098,0.771,0.5705,0.8351,0.9788,0.0
8,stage3-step4000,25,254,0.6304,0.4722,0.7492,0.4634,0.81,0.9791,0.0
9,stage3-step11921,25,254,0.6414,0.4987,0.7415,0.4118,0.7946,0.9854,0.0
10,SFT-step1000,25,254,0.6346,0.5082,0.7358,0.4686,0.8479,0.9852,0.0
11,SFT-step5000,25,254,0.6236,0.4901,0.7265,0.4688,0.8744,0.9843,0.0
12,SFT-step10790,25,254,0.6128,0.4853,0.7142,0.4765,0.8564,0.9866,0.0
13,DPO-main,25,254,0.5978,0.4759,0.6969,0.5177,0.8511,0.9861,0.0
14,RL30-step050,25,254,0.5977,0.4757,0.6966,0.5115,0.851,0.986,0.0
15,RL30-step400,25,254,0.5987,0.4766,0.6968,0.5149,0.8512,0.9861,0.0
16,RL30-step750,25,254,0.5972,0.4748,0.6948,0.5071,0.8484,0.9863,0.0
17,RL31-step0050,25,254,0.5977,0.4757,0.6966,0.5115,0.851,0.986,0.0
18,RL31-step1050,25,254,0.5956,0.4719,0.6935,0.5052,0.8467,0.9865,0.0
19,RL31-step2300,25,254,0.5896,0.4644,0.6891,0.5062,0.8458,0.9874,0.0
