label,kind,name,reml,hue_cc
base_endpretrain,manifold,line,2153.99,0.1944
base_endpretrain,manifold,circle,2238.29,0.0447
base_endpretrain,manifold,plane,2249.68,0.1232
base_endpretrain,manifold,sphere,2249.68,0.0377
base_endpretrain,manifold,torus,2238.27,0.3972
base_endpretrain,ladder,euclid_d1,2153.99,
base_endpretrain,ladder,euclid_d2,2249.68,
base_endpretrain,ladder,euclid_d3,2249.68,
RL31_final,manifold,line,2195.2,0.3009
RL31_final,manifold,circle,2356.15,0.2705
RL31_final,manifold,plane,2371.61,0.292
RL31_final,manifold,sphere,2371.61,0.0377
RL31_final,manifold,torus,2356.14,0.3549
RL31_final,ladder,euclid_d1,2195.2,
RL31_final,ladder,euclid_d2,2371.61,
RL31_final,ladder,euclid_d3,2371.61,
