method,mode,atom,base,heldout,frac,dose,dt,clamped,amplitude,radius,c_tan,delta_norm,h_norm,delta_frac,off_manifold,validity_radius,within_validity,predicted_nats,predicted_nats_pathint,predicted_nats_tangent,measured_kl
manifold,on_chart,0,50,False,0.005,0.005,3.052142479252326,True,0.22630150806513424,2.0407096751480434,2.191587884763723e-05,3.253403812427112,2055.271930376464,0.001582955405726378,7.417531712234315e-13,0.0476897262383176,False,0.000492169110691265,9.00719621748951,0.00011598580412961342,0.0004915937586088299
linear_norm,on_chart,0,50,False,0.005,0.005,,,,,,3.253403812427112,2055.271930376464,,,,,0.0002081154422725091,,,0.00025331675342870545
linear_fisher,on_chart,0,50,False,0.005,0.005,,,,,,3.253403812427112,2055.271930376464,,,,,0.0002631006984113099,,,0.00025331675342870545
manifold,on_chart,0,50,False,0.005,-0.005,-3.052142479252326,True,0.22630150806513424,2.0407096751480434,2.191587884763723e-05,3.4712916090190613,2055.271930376464,0.0016889695021442858,7.949791320821657e-13,0.0476897262383176,False,0.0005216056799353304,9.008607440071376,0.0001320416955002098,0.0005222126203738543
linear_norm,on_chart,0,50,False,0.005,-0.005,,,,,,3.4712916090190613,2055.271930376464,,,,,0.00023692482078866732,,,0.0003160717654562712
linear_fisher,on_chart,0,50,False,0.005,-0.005,,,,,,3.4712916090190613,2055.271930376464,,,,,0.0002995216747964831,,,0.0003160717654562712
manifold,on_chart,0,50,False,0.01,0.01,3.052142479252326,True,0.22630150806513424,2.0407096751480434,2.191587884763723e-05,3.253403812427112,2055.271930376464,0.001582955405726378,7.417531712234315e-13,0.0476897262383176,False,0.000492169110691265,9.00719621748951,0.00011598580412961342,0.0004915937586088299
linear_norm,on_chart,0,50,False,0.01,0.01,,,,,,3.253403812427112,2055.271930376464,,,,,0.0002081154422725091,,,0.00025331675342870545
linear_fisher,on_chart,0,50,False,0.01,0.01,,,,,,3.253403812427112,2055.271930376464,,,,,0.0002631006984113099,,,0.00025331675342870545
manifold,on_chart,0,50,False,0.01,-0.01,-3.052142479252326,True,0.22630150806513424,2.0407096751480434,2.191587884763723e-05,3.4712916090190613,2055.271930376464,0.0016889695021442858,7.949791320821657e-13,0.0476897262383176,False,0.0005216056799353304,9.008607440071376,0.0001320416955002098,0.0005222126203738543
